Type,Solr Schema Field,C# Field / Enum Name,Data Type,Indexed,Retrievable,Required,Multi Valued,IsCopyField,CFType,IsUniqueKey,Source,IsSelfCopy
General Search,id,Id,string,1,1,1,,,,1,,
General Search,description,Description,exact_match_da,1,1,,,,,,,
General Search,duration,Duration,int,,1,,,,,,,
General Search,edition,Edition,int,,1,,,,,,,
General Search,excuseCode,ExcuseCode,string,,1,,,,,,,
General Search,inStock,InStock,boolean,,1,,,,,,,
General Search,isNextPrintRunPlanned,IsNextPrintRunPlanned,boolean,,1,,,,,,,
General Search,isSaleConfigAvailable,IsSaleConfigAvailable,boolean,1,1,1,,,,,,
General Search,inspectionCopyAllowed,InspectionCopyAllowed,boolean,1,1,1,,,,,,
General Search,pages,Pages,int,,1,,,,,,,
GQL Fields,productId,ProductId,lowercase,1,1,1,,,,,,
General Search,discountPercentage,DiscountPercentage,float,1,1,,,,,,,
General Search,hasOtherDiscount,HasOtherDiscount,boolean,,1,,,,,,,
General Search,sampleUrl,SampleUrl,string,,1,,,,,,,
General Search,seoText,SeoText,string,,1,,,,,,,
GQL Fields,seriesIds,SeriesIds,int,1,,,1,,,,,
General Search,productSource,ProductSource,int,1,1,,,,,,,
General Search,seriesNames,SeriesNames,string,1,1,,1,,,,,
General Search,seriesNamesDa,SeriesNamesDa,,1,,,1,1,exact_match_da,,seriesNames,
General Search,subtitle,Subtitle,exact_match_da,1,1,,,,exact_match_da,,,
General Search,systemNamesDa,SystemNamesDa,,1,1,,1,1,exact_match_da,,systemNames,
General Search,systemNames,SystemNames,string,1,1,,1,,,,,
GQL Fields,title,Title,lowercase,1,1,1,,,,,,
General Search,titleDa,TitleDa,,1,0,0,,1,exact_match_da,,title,
General Search,title_contains,TitleContains,,1,0,0,,1,substring_match,,title,
General Search,titleSorting,TitleSorting,,1,0,0,,1,collation_field_da_dk_locale,,title,
General Search,title_substring,TitleSubstring,,1,0,0,,1,exact_match_da,,title,
General Search,workId,WorkId,int,1,1,1,,,,,,
General Search,workText,WorkText,string,,1,,,,,,,
General Search,workTitle,WorkTitle,string,,1,,,,,,,
General Search,hasVideos,HasVideos,boolean,1,1,,,,,,,
General Search,hasImages,HasImages,boolean,1,1,,,,,,,
General Search,originalCoverImageUrl,OriginalCoverImageUrl,string,,1,,,,,,,
General Search,isPhysical,IsPhysical,boolean,1,1,1,,,,,,
General Search,contributorIds,ContributorIds,lowercase,1,1,,1,,,,,
General Search,membershipPaths,MembershipPaths,string,,1,,1,,,,,
General Search,lastUpdated,LastUpdated,date,,1,1,,,,,,
General Search,bundleProductTitles,BundleProductTitles,string,1,1,,1,,,,,
General Search,bundleProductIsbns,BundleProductIsbns,string,1,1,,1,,,,,
General Search,productType,ProductType,int,1,1,1,,,,,,
General Search,reviewText,ReviewText,string,,1,,,,,,,
GQL Fields,areas,Areas,lowercase,1,1,,1,,,,,
GQL Fields,areasDa,AreasDa,,1,,,1,1,exact_match_da,,areas,
GQL Fields,authorNames,AuthorNames,lowercase,1,1,,1,,,,,
GQL Fields,authorNamesDa,AuthorNamesDa,,1,,,1,1,exact_match_da,,authorNames,
GQL Fields,isbn13,Isbn13,text_startsWith,1,1,1,,,,,,
GQL Fields,isbn13String,isbn13String,string,1,1,1,,1,string,,isbn13,
GQL Fields,levels,Levels,lowercase,1,1,,1,,,,,
GQL Fields,levelsDa,LevelsDa,,1,,,1,1,exact_match_da,,levels,
GQL Fields,materialTypeName,MaterialTypeName,lowercase,1,1,,,,,,,
GQL Fields,mediaTypeName,MediaTypeName,lowercase,1,1,1,,,,,,
GQL Fields,searchMedia,SearchMedia,,1,0,0,,1,exact_match_da,,mediaTypeName,
GQL Fields,publishDate,PublishDate,date,1,1,1,,,,,,
General Search,currentPrintRunPublishDate,CurrentPrintRunPublishDate,date,,1,1,,,,,,
General Search,physicalIsbn,PhysicalIsbn,string,1,1,,,,,,,
General Search,publisherId,PublisherId,int,1,1,,,,,,,
GQL Fields,publisher,Publisher,lowercase,1,1,,,,,,,
GQL Fields,publisherDa,PublisherDa,,1,,,,1,text_da,,publisher,
GQL Fields,subAreas,SubAreas,lowercase,1,1,,1,,,,,
